"Apache/2.2.23","September 13, 2012"
"Apache/2.2.22","January 31, 2012"
"Apache/2.2.21","September 13, 2011"
"Apache/2.2.20","August 30, 2011"
"Apache/2.2.19","May 21, 2011"
"Apache/2.2.18","May 11, 2011"
"Apache/2.2.17","October 18, 2010"
"Apache/2.2.16","July 25, 2010"
"Apache/2.2.15","March 5, 2010"
"Apache/2.2.14","October 3, 2009"
"Apache/2.2.13","August 8, 2009"
"Apache/2.2.12","July 28, 2009"
"Apache/2.2.11","December 14, 2008"
"Apache/2.2.10","October 14, 2008"
"Apache/2.2.9","June 14, 2008"
"Apache/2.2.8","January 19, 2008"
"Apache/2.2.7","Not released"
"Apache/2.2.6","September 7, 2007"
"Apache/2.2.5","Not released"
"Apache/2.2.4","January 9, 2007"
"Apache/2.2.3","July 28, 2006"
"Apache/2.2.2","May 1, 2006"
"Apache/2.2.1","Not released"
"Apache/2.2.0","December 1, 2005"
"Apache/2.2.X","on or after December 1, 2005"
"Apache/2.1.X","before December 1, 2005"
"Apache/2.4.3","August 21, 2012"
"Apache/2.4.2","April 17, 2012"
"Apache/2.4.1","February 17, 2012"
"Apache/2.4.0","Not released"
"Apache/2.4.X","on or after February 17, 2012"
"Apache/2.3.16","(beta) December 20, 2011"
"Apache/2.3.15","(beta) Nov. 15, 2011"
"Apache/2.3.14","(beta) Aug. 9, 2011"
"Apache/2.3.13","(beta) Not released"
"Apache/2.3.12","(beta) May 23, 2011"
"Apache/2.3.11","(beta) March 7, 2011"
"Apache/2.3.10","(alpha) December 21, 2010"
"Apache/2.3.9","(alpha) Not released"
"Apache/2.3.8","(alpha) August 31, 2010"
"Apache/2.3.7","(alpha) Not released"
"Apache/2.3.6","(alpha) June 17, 2010"
"Apache/2.3.5","(alpha) January 26, 2010"
"Apache/2.3.4","(alpha) December 8, 2009"
"Apache/2.3.3","(alpha) Not released"
"Apache/2.3.2","(alpha) Not released"
"Apache/2.3.1","(alpha) Not released"
"Apache/2.3.0","(alpha) Not released"
"Apache/2.0.65","In Maintenance"
"Apache/2.0.64","October 19, 2010"
"Apache/2.0.63","January 19, 2008"
"Apache/2.0.62","Not released"
"Apache/2.0.61","September 7, 2007"
"Apache/2.0.60","Not released"
"Apache/2.0.59","July 28, 2006"
"Apache/2.0.58","May 1, 2006"
"Apache/2.0.57","Not released"
"Apache/2.0.56","Not released"
"Apache/2.0.55","October 16, 2005"
"Apache/2.0.54","April 17, 2005"
"Apache/2.0.53","February 7, 2005"
"Apache/2.0.52","September 28, 2004"
"Apache/2.0.51","September 15, 2004"
"Apache/2.0.50","June 30, 2004"
"Apache/2.0.49","March 19, 2004"
"Apache/2.0.48","October 29, 2003"
"Apache/2.0.47","July 09, 2003"
"Apache/2.0.46","May 28, 2003"
"Apache/2.0.45","April 1, 2003"
"Apache/2.0.44","January 20, 2003"
"Apache/2.0.43","October 3, 2002"
"Apache/2.0.42","September 24, 2002"
"Apache/2.0.41","Not released"
"Apache/2.0.40","August 9, 2002"
"Apache/2.0.39","June 17, 2002"
"Apache/2.0.38","Not released"
"Apache/2.0.37","Not released"
"Apache/2.0.36","May 6, 2002"
"Apache/2.0.35","April 5, 2002"
"Apache/2.0.34","Not released"
"Apache/2.0.33","Not released"
"Apache/2.0.32","Feburary 16, 2002"
"Apache/2.0.31","Not released"
"Apache/2.0.30","Not released"
"Apache/2.0.29","Not released"
"Apache/2.0.28","November 13, 2001"
"Apache/2.0.27","Not released"
"Apache/2.0.26","Not released"
"Apache/2.0.25","Not released"
"Apache/2.0.24","Not released"
"Apache/2.0.23","Not released"
"Apache/2.0.22","Not released"
"Apache/2.0.21","Not released"
"Apache/2.0.20","Not released"
"Apache/2.0.19","Not released"
"Apache/2.0.18","Not released"
"Apache/2.0.17","Not released"
"Apache/2.0.16","Not released"
"Apache/2.0.15","Not released"
"Apache/2.0.14","Not released"
"Apache/2.0a9","December 12, 2000"
"Apache/2.0a8","November 20, 2000"
"Apache/2.0a7","October 8, 2000"
"Apache/2.0a6","August 18, 2000"
"Apache/2.0a5","August 4, 2000"
"Apache/2.0a4","June 7, 2000"
"Apache/2.0a3","April 28, 2000"
"Apache/2.0a2","March 31, 2000"
"Apache/2.0a1","March 10, 2000"
"Apache/2.0.X","on or after March 10, 2000"
"Apache/2.X.X","on or after March 10, 2000"
"Apache/1.3.42","Feb. 2, 2010 [EOL]"
"Apache/1.3.41","January 19, 2008"
"Apache/1.3.40","Not released"
"Apache/1.3.39","September 7, 2007"
"Apache/1.3.38","Not released"
"Apache/1.3.37","July 28, 2006"
"Apache/1.3.36","May 17, 2006"
"Apache/1.3.35","May 1, 2006"
"Apache/1.3.34","October 18, 2005"
"Apache/1.3.33","October 29, 2004"
"Apache/1.3.32","Not released"
"Apache/1.3.31","May 11, 2004"
"Apache/1.3.30","Not released"
"Apache/1.3.29","Oct 29, 2003"
"Apache/1.3.28","July 16, 2003"
"Apache/1.3.27","Oct 3, 2002"
"Apache/1.3.26","June 18, 2002"
"Apache/1.3.25","Not released"
"Apache/1.3.24","Mar 22, 2002"
"Apache/1.3.23","Jan 21, 2002"
"Apache/1.3.22","Oct 12, 2001"
"Apache/1.3.21","Not released"
"Apache/1.3.20","May 21, 2001"
"Apache/1.3.19","Mar 01, 2001"
"Apache/1.3.18","Not released"
"Apache/1.3.17","Jan 29, 2001"
"Apache/1.3.16","Not released"
"Apache/1.3.15","Not released"
"Apache/1.3.14","Oct 13, 2000"
"Apache/1.3.13","Not released"
"Apache/1.3.12","Feb. 25, 2000"
"Apache/1.3.11","Jan. 21, 2000"
"Apache/1.3.10","Not released"
"Apache/1.3.9","Aug. 19, 1999"
"Apache/1.3.8","Not released"
"Apache/1.3.7","Not released"
"Apache/1.3.6","Mar. 24, 1999"
"Apache/1.3.5","Not released"
"Apache/1.3.4","Jan. 11, 1999"
"Apache/1.3.3","Oct. 9, 1998"
"Apache/1.3.2","Sep. 23, 1998"
"Apache/1.3.1","July 22, 1998"
"Apache/1.3.0","June 6, 1998"

"Apache-Coyote/","Tomcat Coyote connector"
"Apache-Coyote/1.1","Tomcat Coyote connector uses HTTP 1.1 protocol"

"Apache/1.2.31","May not be actual Apache version"
"Apache/1.1.X","May be Coyote"
"Apache/1.0.X","Too small to be Apache or pre-1999"
"Apache/0.1.8","May be mod_diagnostics version instead"